Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,
2017217,20:27:23,50,-1,,2017217,20:27:28,50,31.5,,2017217,20:27:38,50,-1,,
2017217,20:27:48,50,-1,,2017217,20:27:53,50,31.5,,2017217,20:28:4,50,-1,,
2017217,20:28:14,50,-1,,2017217,20:28:19,50,31.5,,2017217,20:28:29,50,-1,,
2017217,20:28:39,50,-1,,2017217,20:28:44,50,31.5,,2017217,20:28:54,50,-1,,
2017217,20:29:4,50,-1,,2017217,20:29:12,50,31.5,,2017217,20:29:22,50,-1,,
2017217,20:29:33,50,-1,,2017217,20:29:38,50,31.5,,2017217,20:29:48,50,-1,,
2017217,20:29:58,50,-1,,2017217,20:30:3,50,31.5,,2017217,20:30:13,50,-1,,
2017217,20:30:23,50,-1,,2017217,20:30:28,50,31.5,,2017217,20:30:38,50,-1,,
2017217,20:30:49,50,-1,,2017217,20:30:54,50,31.5,,2017217,20:31:4,50,-1,,
2017217,20:31:14,50,-1,,2017217,20:31:22,50,31.5,,2017217,20:31:32,50,-1,,
2017217,20:31:42,50,-1,,2017217,20:31:50,50,31.5,,2017217,20:32:0,50,-1,,
2017217,20:32:10,50,-1,,2017217,20:32:15,50,31.5,,2017217,20:32:26,50,-1,,
2017217,20:32:36,50,-1,,2017217,20:32:41,50,31.5,,2017217,20:32:51,50,-1,,
2017217,20:33:1,50,-1,,2017217,20:33:9,50,31.5,,2017217,20:33:19,50,-1,,
2017217,20:33:29,50,-1,,2017217,20:33:34,50,31.5,,2017217,20:33:45,50,-1,,
2017217,20:33:55,50,-1,,2017217,20:34:0,50,31.5,,2017217,20:34:10,50,-1,,
2017217,20:34:20,50,-1,,2017217,20:34:28,50,31.5,,2017217,20:34:38,50,-1,,
2017217,20:34:48,50,-1,,2017217,20:34:53,50,31.5,,2017217,20:35:3,50,-1,,
2017217,20:35:14,50,-1,,2017217,20:35:19,50,31.75,,2017217,20:35:29,50,-1,,
2017217,20:35:39,50,-1,,2017217,20:35:47,50,31.75,,2017217,20:35:57,50,-1,,
